129,
name01,A23_AI00
name02,A23_AI01
name03,A23_AI02
name04,A23_AI03
name05,A23_AI04
name06,A23_AI05
name07,A23_AI06
name08,A23_AI07
name09,A23_AI08
name10,A23_AI09
name11,A23_AI10
name12,A23_AI11
name13,A23_AI12
name14,A23_AI13
name15,A23_AI14
name16,A23_AI15
name17,     
name18,     
name19,     
name20,     
name21,     
name22,     
name23,     
name24,     
name25,     
name26,     
name27,     
name28,     
name29,     
name30,     
name31,     
name32,     
description01,ДТ17
description02,ДТ18
description03,ДТ19
description04,ДТ20
description05,Текущее положение клапана Regada 4-20мА
description06, ДД1
description07, ДД2
description08, ДД3
description09, ДД4
description10,Показания сигнализатора уровня СУ
description11,Показания тока индикации ПИД  4-20мА
description12,Резерв
description13,Резерв
description14,Резерв
description15,Резерв
description16,Резерв
description17,     
description18,     
description19,     
description20,     
description21,     
description22,     
description23,     
description24,     
description25,     
description26,     
description27,     
description28,     
description29,     
description30,     
description31,     
description32,     
pipename01,     
pipename02,     
pipename03,     
pipename04,     
pipename05,     
pipename06,     
pipename07,     
pipename08,     
pipename09,     
pipename10,     
pipename11,     
pipename12,     
pipename13,     
pipename14,     
pipename15,     
pipename16,     
pipename17,     
pipename18,     
pipename19,     
pipename20,     
pipename21,     
pipename22,     
pipename23,     
pipename24,     
pipename25,     
pipename26,     
pipename27,     
pipename28,     
pipename29,     
pipename30,     
pipename31,     
pipename32,     
source01,Fix32.FIX.A23_AI00.F_CV
source02,Fix32.FIX.A23_AI01.F_CV
source03,Fix32.FIX.A23_AI02.F_CV
source04,Fix32.FIX.A23_AI03.F_CV
source05,Fix32.FIX.A23_AI04.F_CV
source06,Fix32.FIX.A23_AI05.F_CV
source07,Fix32.FIX.A23_AI06.F_CV
source08,Fix32.FIX.A23_AI07.F_CV
source09,Fix32.FIX.A23_AI08.F_CV
source10,Fix32.FIX.A23_AI09.F_CV
source11,Fix32.FIX.A23_AI10.F_CV
source12,Fix32.FIX.A23_AI11.F_CV
source13,Fix32.FIX.A23_AI12.F_CV
source14,Fix32.FIX.A23_AI13.F_CV
source15,Fix32.FIX.A23_AI14.F_CV
source16,Fix32.FIX.A23_AI15.F_CV
source17,     
source18,     
source19,     
source20,     
source21,     
source22,     
source23,     
source24,     
source25,     
source26,     
source27,     
source28,     
source29,     
source30,     
source31,     
source32,     
module_name,Модуль А23 ALG 616
